22-11-04 18:36:05,Sitting
22-11-04 18:36:06,Sitting
22-11-04 18:36:09,Sitting
22-11-04 18:36:10,Sitting
22-11-04 18:36:12,Sitting
22-11-04 18:36:14,Sitting
22-11-04 18:36:18,Sitting
22-11-04 18:36:21,Walking
22-11-04 18:36:22,Walking
22-11-04 18:36:23,Walking
22-11-04 18:36:28,Standing
22-11-04 18:36:30,Standing
22-11-04 18:36:31,Standing
22-11-04 18:36:33,Standing
22-11-04 18:36:36,Standing
22-11-04 18:36:38,Standing
22-11-04 18:36:40,Standing
22-11-04 18:36:41,Standing
22-11-04 18:36:44,Standing
22-11-04 18:36:45,Standing
22-11-04 18:36:50,Standing
22-11-04 18:36:52,Standing
22-11-04 18:36:53,Standing
22-11-04 18:36:54,Standing
22-11-04 18:36:58,Standing
22-11-04 18:36:59,Standing
22-11-04 18:37:03,Standing
22-11-04 18:37:04,Standing
22-11-04 18:37:05,Standing
22-11-04 18:37:08,Standing
22-11-04 18:37:11,Standing
22-11-04 18:37:14,Standing
22-11-04 18:37:16,Standing
22-11-04 18:37:18,Standing
22-11-04 18:37:20,Standing
22-11-04 18:37:22,Standing
22-11-04 18:37:23,Standing
22-11-04 18:37:26,Standing
22-11-04 18:37:28,Standing
22-11-04 18:37:30,Standing
22-11-04 18:37:33,Standing
22-11-04 18:37:38,Standing
22-11-04 18:37:40,Standing
22-11-04 18:37:41,Standing
22-11-04 18:37:44,Walking
22-11-04 18:37:46,Walking
22-11-04 18:37:48,Walking
22-11-04 18:37:51,Walking
22-11-04 18:37:53,Walking
22-11-04 18:37:54,Walking
22-11-04 18:37:56,Walking
22-11-04 18:37:59,Walking
22-11-04 18:38:02,Walking
22-11-04 18:38:03,Walking
22-11-04 18:38:05,Walking
22-11-04 18:38:07,Walking
22-11-04 18:38:10,Walking
22-11-04 18:38:12,Walking
22-11-04 18:38:14,Walking
22-11-04 18:38:17,Walking
22-11-04 18:38:18,Walking
22-11-04 18:38:21,Walking
22-11-04 18:38:23,Walking
22-11-04 18:38:25,Walking
22-11-04 18:38:26,Walking
22-11-04 18:38:29,Walking
22-11-04 18:38:30,Walking
22-11-04 18:38:34,Walking
22-11-04 18:38:37,Walking
22-11-04 18:38:40,Walking
22-11-04 18:38:42,Sitting
22-11-04 18:38:43,Sitting
22-11-04 18:38:45,Sitting
22-11-04 18:38:48,Sitting
22-11-04 18:38:50,Sitting
22-11-04 18:38:52,Sitting
22-11-04 18:38:53,Sitting
22-11-04 18:38:57,Sitting
